tweet_id,favorite_count,retweet_count,retweet_status,url
667200525029539841,658,282,Original tweet,https://t.co/60xYFRATPZ
667192066997374976,414,115,Original tweet,https://t.co/QCugm5ydl6
667188689915760640,784,449,Original tweet,https://t.co/8uCMwS9CbV
667182792070062081,15075,6618,Original tweet,https://t.co/s2yYuHabWl
667177989038297088,200,58,Original tweet,https://t.co/jpaeu6LNmW
667176164155375616,640,484,Original tweet,https://t.co/PZxSarAfSN
667174963120574464,262,88,Original tweet,https://t.co/fGDWgukcBs
667171260800061440,235,97,Original tweet,https://t.co/6RHNRsByOY
667165590075940865,2819,1241,Original tweet,https://t.co/li2XYBVuAY
667160273090932737,268,66,Original tweet,https://t.co/DKhgkMx4N1
667152164079423490,49720,18285,Original tweet,https://t.co/h9R0EwKd9X
667138269671505920,4851,2387,Original tweet,https://t.co/0DvHAMdA4V
667119796878725120,346,135,Original tweet,https://t.co/3LZrJzg3BJ
667090893657276420,349,132,Original tweet,https://t.co/Ks0jZtdIrr
667073648344346624,425,134,Original tweet,https://t.co/DPSamreuRq
667070482143944705,88,14,Original tweet,0
667065535570550784,175,51,Original tweet,https://t.co/7JdgVqDnvR
667062181243039745,227,57,Original tweet,https://t.co/tz1lpuvXLA
667044094246576128,198,54,Original tweet,https://t.co/QZAnwgnOMB
667012601033924608,471,237,Original tweet,https://t.co/bATAbPNv0m
666996132027977728,258,102,Original tweet,https://t.co/SVpNbhaIMk
666983947667116034,2679,1040,Original tweet,https://t.co/cyDfaK8NBc
666837028449972224,857,584,Original tweet,https://t.co/xYGdBrMS9h
666835007768551424,222,83,Original tweet,https://t.co/ZnEMHBsAs1
666826780179869698,266,105,Original tweet,https://t.co/V6ZzG45zzG
666817836334096384,540,267,Original tweet,https://t.co/8whlkYw3mO
666804364988780544,250,95,Original tweet,https://t.co/RdKbAOEpDK
666786068205871104,800,521,Original tweet,https://t.co/EIn5kElY1S
666781792255496192,404,211,Original tweet,https://t.co/uEvsGLOFHa
666776908487630848,368,186,Original tweet,https://t.co/XNGeDwrtYH
666739327293083650,244,71,Original tweet,https://t.co/tI3uFLDHBI
666701168228331520,449,234,Original tweet,https://t.co/uQbZJM2DQB
666691418707132416,196,51,Original tweet,https://t.co/bg4TqvvkuF
666649482315059201,923,608,Original tweet,https://t.co/vXMKrJC81s
666644823164719104,238,88,Original tweet,https://t.co/LEkZjZxESQ
666454714377183233,545,223,Original tweet,https://t.co/uPqPeXAcua
666447344410484738,107,23,Original tweet,https://t.co/kH60oka1HW
666437273139982337,131,52,Original tweet,https://t.co/7LtjBS0GPK
666435652385423360,170,54,Original tweet,https://t.co/GlFZPzqcEU
666430724426358785,330,204,Original tweet,https://t.co/yECbFrSArM
666428276349472768,171,90,Original tweet,https://t.co/NMQq6HIglK
666421158376562688,327,118,Original tweet,https://t.co/YMcrXC2Y6R
666418789513326592,129,48,Original tweet,https://t.co/qXpcwENTvn
666411507551481857,459,339,Original tweet,https://t.co/aMCTNWO94t
666407126856765440,113,44,Original tweet,https://t.co/LopTBkKa8h
666396247373291520,172,92,Original tweet,https://t.co/Dc7b0E8qFE
666373753744588802,194,100,Original tweet,https://t.co/uHXrPkUEyl
666362758909284353,804,595,Original tweet,https://t.co/XMD9CwjEnM
666353288456101888,229,77,Original tweet,https://t.co/tltQ5w9aUO
666345417576210432,307,146,Original tweet,https://t.co/VFKG1vxGjB
666337882303524864,204,96,Original tweet,https://t.co/QpRjllzWAL
666293911632134144,522,368,Original tweet,https://t.co/IIXis0zta0
666287406224695296,152,71,Original tweet,https://t.co/d9NcXFKwLv
666273097616637952,184,82,Original tweet,https://t.co/ws2AMaNwPW
666268910803644416,108,37,Original tweet,https://t.co/0yxApIikpk
666104133288665088,14765,6871,Original tweet,https://t.co/Asgdc6kuLX
666102155909144576,81,16,Original tweet,https://t.co/11LvqN4WLq
666099513787052032,164,73,Original tweet,https://t.co/Ri4nMTLq5C
666094000022159362,169,79,Original tweet,https://t.co/mnioXo3IfP
666082916733198337,121,47,Original tweet,https://t.co/3RU6x0vHB7
666073100786774016,335,174,Original tweet,https://t.co/Yk6GHE9tOY
666071193221509120,154,67,Original tweet,https://t.co/ZoL8kq2XFx
666063827256086533,496,232,Original tweet,https://t.co/RhUEAloehK
666058600524156928,115,61,Original tweet,https://t.co/pYAJkAe76p
666057090499244032,304,146,Original tweet,https://t.co/yWBqbrzy8O
666055525042405380,448,261,Original tweet,https://t.co/rdivxLiqEt
666051853826850816,1253,879,Original tweet,https://t.co/v5A4vzSDdc
666050758794694657,136,60,Original tweet,https://t.co/fvIbQfHjIe
666049248165822465,111,41,Original tweet,https://t.co/4B7cOc1EDq
666044226329800704,311,147,Original tweet,https://t.co/DWnyCjf2mx
666033412701032449,128,47,Original tweet,https://t.co/y671yMhoiR
666029285002620928,132,48,Original tweet,https://t.co/r7mOb2m0UI
666020888022790149,2535,532,Original tweet,https://t.co/BLDqew2Ijj
